stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
167,MAILLEN Rue de Poilvache,,3.921619,51.050280,,
168,MAILLEN Rue sur l'Hesse,,3.927974,51.056920,,
169,COUVIN Gare SNCB,,3.415943,50.735507,,
170,CHATELINEAU SNCB,,3.972528,50.757359,,
171,CHATELINEAU SNCB,,3.971592,50.756912,,
172,CHATELINEAU SNCB,,3.972666,50.757428,,
173,COUVIN Gare SNCB,,3.416376,50.735604,,
174,COUVIN Gare SNCB,,3.416180,50.735472,,
175,COUVIN Gare SNCB,,3.416624,50.735568,,
176,MORLANWELZ Hayettes,,4.045568,50.565065,,
177,HOUDENG-GOEGNIES Bois de la Hutte,,4.118091,50.538963,,
178,CHAUMONT Barrière Luc,,3.652194,50.801145,,
179,FLAWINNE Jaumaux,,4.073488,50.932362,,
180,MAILLEN Rue de la Ladresse,,3.923007,51.041373,,
181,MAILLEN Centre,,3.920726,51.044531,,
182,MAILLEN Centre,,3.920540,51.044275,,
183,FLAWINNE Jaumaux,,4.073808,50.931792,,
184,CHAUMONT Barrière Luc,,3.652532,50.801458,,
185,MAILLEN Hall Omnisport,,3.918512,51.042190,,
186,MAILLEN Hall Omnisport,,3.918519,51.042425,,
187,MAILLEN Rue du Tailfer,,3.932061,51.043941,,
188,MAILLEN Rue du Tailfer,,3.931830,51.043760,,
189,MAILLEN Rue de la Ladresse,,3.922669,51.040749,,
190,FLAWINNE Superconfex,,4.074986,50.928628,,
191,FLAWINNE Superconfex,,4.074826,50.929254,,
192,MAILLEN Rue sur l'Hesse,,3.928198,51.057573,,
193,NIVELLES Place du Souvenir,,4.265843,50.633686,,
194,DAVE Pont du curé,,3.980771,50.992015,,
195,DAVE Pont du curé,,3.980716,50.991781,,
196,DAVE Pré des Broux,,3.965478,50.989761,,
197,DAVE Cimetière,,3.985104,50.993422,,
198,DAVE Rue de l'école,,3.984288,50.999101,,
199,DAVE Rue de l'école,,3.983945,50.999279,,
200,DAVE Rue des Fonds,,3.980440,51.001075,,
201,DAVE Rue des Sautes,,3.980043,50.999132,,
202,DAVE Rue des Sautes,,3.980259,50.998827,,
203,DAVE Poste,,3.981061,50.994874,,
204,TAILFER CIBE,,3.927121,50.983817,,
205,DAVE Pré des Broux,,3.966291,50.989728,,
206,DAVE Cimetière,,3.985185,50.993935,,
207,AUBLAIN Monument,,3.435471,50.682269,,
208,AUBLAIN Monument,,3.434841,50.682545,,
209,LUSTIN Chapelle,,3.934553,51.007153,,
210,LUSTIN Chapelle,,3.934712,51.006893,,
211,LUSTIN Pré Baudot,,3.931006,51.000929,,
212,LUSTIN Pré Baudot,,3.931320,51.000894,,
213,LUSTIN Institut St-Thomas,,3.907415,50.986357,,
214,LUSTIN Institut St-Thomas,,3.908012,50.986468,,
215,GODINNE Gare,,3.876118,50.978914,,
216,MONT Village,,3.884048,50.997042,,
217,MONT Village,,3.884029,50.996089,,
218,MONT Eglise,,3.883072,51.000454,,
219,PATURAGES Rue du Grand Passage,,3.965934,50.333156,,
220,PATURAGES Rue du Grand Passage,,3.965720,50.333155,,
221,MONT Route de la clinique,,3.890180,50.990747,,
222,DAVE Chemin de l'institut,,4.008664,50.978668,,
223,DAVE Rocher du Néviau,,3.997317,50.983422,,
224,DAVE Rocher du Néviau,,3.997132,50.983431,,
225,DAVE Ancienne gare,,3.987026,50.989271,,
226,DAVE Ancienne gare,,3.986119,50.989482,,
227,DAVE Ancienne gare,,3.985984,50.990049,,
228,DAVE Pont du curé,,3.981242,50.991294,,
229,DAVE Pont du curé,,3.981351,50.991193,,
230,DAVE Rue des Fonds,,3.980097,51.001154,,
231,DAVE Poste,,3.981304,50.995014,,
232,TAILFER Gare,,3.941989,50.987582,,
233,TAILFER Gare,,3.942198,50.987527,,
234,TAILFER Carrières,,3.933276,50.986586,,
235,TAILFER Carrières,,3.933028,50.986418,,
236,TAILFER CIBE,,3.929307,50.984790,,
237,LUSTIN Rocher de Frênes,,3.922364,50.984490,,
238,LUSTIN Rocher de Frênes,,3.922619,50.984109,,
239,LUSTIN Les Ramiers,,3.918588,50.986315,,
240,LUSTIN Les Ramiers,,3.918732,50.986190,,
241,LUSTIN Gare,,3.907559,50.984931,,
242,LUSTIN Gare,,3.907319,50.984794,,
243,LUSTIN Frappe-Cul,,3.900843,50.983234,,
244,LUSTIN Frappe-Cul,,3.900033,50.983049,,
245,LUSTIN Rue Monty,,3.940249,50.992306,,
246,LUSTIN Rue des Fonds,,3.940461,50.997579,,
247,LUSTIN Rue des Fonds,,3.940333,50.997516,,
248,LUSTIN Maison de vacances,,3.936296,51.002855,,
249,DAVE Pierre du Bocq,,3.961437,50.989401,,
250,DAVE Pierre du Bocq,,3.961652,50.989320,,
251,DAVE Les sources,,3.948423,50.988118,,
252,DAVE Les sources,,3.949289,50.988102,,
253,LUSTIN Maison de vacances,,3.936655,51.002542,,
254,PORCHERESSE (Havelange) Rte de Jeneffe,,3.863786,51.217726,,
255,PORCHERESSE (Havelange) Rte de Jeneffe,,3.863942,51.217490,,
256,HAVELANGE Avenue de Criel,,3.948436,51.217130,,
257,VERLEE Route Marechal,,3.907535,51.241499,,
258,VERLEE Route Marechal,,3.907352,51.241996,,
259,BARVAUX-CONDROZ Eglise,,3.845671,51.230142,,
260,BARVAUX-CONDROZ Eglise,,3.845555,51.230249,,
261,MEAN Gros Chêne,,3.885181,51.287251,,
262,MEAN Gros Chêne,,3.886137,51.287033,,
263,HABERGY Eglise,,2.704172,51.551945,,
264,HABERGY Rue de Rachecourt,,2.706410,51.555929,,
265,HABERGY Rue de Rachecourt,,2.706544,51.555763,,
266,HABERGY N870,,2.711135,51.556610,,
267,HABERGY N870,,2.711117,51.556442,,
268,GUELFF Cabine Electrique,,2.691075,51.553293,,
269,GUELFF Cabine Electrique,,2.691264,51.553218,,
270,RACHECOURT Rue du Haut,,2.671915,51.529562,,
271,RACHECOURT Rue du Haut,,2.671918,51.529317,,
272,RACHECOURT Rue de la Strale,,2.668403,51.529054,,
273,RACHECOURT Rue de la Strale,,2.668466,51.528888,,
274,RACHECOURT Rue Basse,,2.663949,51.528667,,
275,RACHECOURT Rue Basse,,2.664244,51.528503,,
276,RACHECOURT Rue de la Cour,,2.658550,51.529677,,
277,RACHECOURT Rue de la Cour,,2.658818,51.529549,,
278,RACHECOURT Rue de la Marne,,2.659781,51.529649,,
279,RACHECOURT Rue de la Marne,,2.659560,51.529533,,
280,RACHECOURT Rue de la Fosse,,2.671836,51.528989,,
281,RACHECOURT Terrain de Football,,2.674112,51.532147,,
282,RACHECOURT Terrain de Football,,2.674497,51.532380,,
283,AUTELBAS Ecole,,2.758593,51.621837,,
284,AUTELBAS Ecole,,2.758495,51.621499,,
285,BARNICH Eglise,,2.760359,51.623961,,
286,BARNICH Eglise,,2.760525,51.623781,,
287,STERPENICH Eglise,,2.757500,51.636377,,
288,STERPENICH Eglise,,2.757217,51.636386,,
289,STERPENICH Passage à Niveau,,2.751910,51.636536,,
290,STERPENICH Passage à Niveau,,2.752079,51.636377,,
291,STEINFORT Douane,,2.774867,51.645106,,
292,STEINFORT Douane,,2.774600,51.645147,,
293,STEINFORT Route de Kleinbettingen,,2.773915,51.652160,,
294,HAGEN Carrefour op Eeschelter,,2.766748,51.657170,,
295,HAGEN Carrefour an der Laach,,2.762745,51.658833,,
296,HAGEN Carrefour Rue Principale,,2.759179,51.661617,,
297,HAGEN Eglise,,2.758443,51.662425,,
298,AUTELBAS Rue d'Autelhaut n°22,,2.757758,51.619446,,
299,AUTELBAS Rue d'Autelhaut n°22,,2.757477,51.619221,,
300,STERPENICH IKEA,,2.740212,51.637147,,
301,ROBELMONT Belle Vue,,2.659688,51.397965,,
302,ROBELMONT Belle Vue,,2.659930,51.397882,,
303,ROBELMONT Rue Pré Cathelenne,,2.670167,51.389242,,
304,ROBELMONT Rue Pré Cathelenne,,2.670410,51.389264,,
305,ROBELMONT Grand-Place,,2.674577,51.388727,,
306,ROBELMONT Rue de la Comète,,2.676046,51.388680,,
307,CROIX-ROUGE Route de Ethe,,2.722297,51.416556,,
308,CROIX-ROUGE Route de Ethe,,2.722080,51.416485,,
309,HUOMBOIS Huombois,,2.737505,51.422676,,
310,HUOMBOIS Huombois,,2.736845,51.422622,,
311,CROIX ROUGE Passage à Niveau,,2.729771,51.419189,,
312,CROIX ROUGE Passage à Niveau,,2.729146,51.419144,,
313,LAHAGE Rue Saint-Hubert n°135,,2.763656,51.381993,,
314,LAHAGE Rue Saint-Hubert n°135,,2.763628,51.381834,,
315,LAHAGE Rue Orban,,2.758060,51.383041,,
316,LAHAGE Monument,,2.756790,51.383608,,
317,LAHAGE Monument,,2.756607,51.383505,,
318,LAHAGE Rue du Meunier,,2.751488,51.385694,,
