shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BE.TEC.BE.TEC.B1,4.763051,50.623765,273,56.706956
BE.TEC.BE.TEC.B1,4.763054,50.623746,274,56.709008
BE.TEC.BE.TEC.B1,4.763048,50.623709,275,56.713201
BE.TEC.BE.TEC.B1,4.763029,50.623673,276,56.717633
BE.TEC.BE.TEC.B1,4.763000,50.623641,277,56.722515
BE.TEC.BE.TEC.B1,4.762960,50.623613,278,56.727889
BE.TEC.BE.TEC.B1,4.762912,50.623591,279,56.733728
BE.TEC.BE.TEC.B1,4.762858,50.623576,280,56.739954
BE.TEC.BE.TEC.B1,4.762800,50.623569,281,56.746421
BE.TEC.BE.TEC.B1,4.762767,50.623569,282,56.750088
BE.TEC.BE.TEC.B1,4.762685,50.623528,283,56.760274
BE.TEC.BE.TEC.B1,4.762522,50.623399,284,56.783404
BE.TEC.BE.TEC.B1,4.762256,50.623200,285,56.820254
BE.TEC.BE.TEC.B1,4.762117,50.623088,286,56.840007
BE.TEC.BE.TEC.B1,4.761885,50.622872,287,56.875237
BE.TEC.BE.TEC.B1,4.761358,50.622457,288,56.949658
BE.TEC.BE.TEC.B1,4.761242,50.622362,289,56.966276
BE.TEC.BE.TEC.B1,4.761138,50.622280,290,56.980968
BE.TEC.BE.TEC.B1,4.779588,50.636609,291,59.573494
BE.TEC.BE.TEC.B1,4.779196,50.636311,292,59.628135
BE.TEC.BE.TEC.B1,4.778315,50.635652,293,59.750234
BE.TEC.BE.TEC.B1,4.777786,50.635254,294,59.823648
BE.TEC.BE.TEC.B1,4.777068,50.634691,295,59.924939
BE.TEC.BE.TEC.B1,4.772776,50.631349,296,60.528649
BE.TEC.BE.TEC.B1,4.770659,50.629701,297,60.826361
BE.TEC.BE.TEC.B1,4.769832,50.629053,298,60.942974
BE.TEC.BE.TEC.B1,4.768999,50.628399,299,61.060543
BE.TEC.BE.TEC.B1,4.768309,50.627859,300,61.157733
BE.TEC.BE.TEC.B1,4.765170,50.625450,301,61.596905
BE.TEC.BE.TEC.B1,4.764972,50.625305,302,61.624129
BE.TEC.BE.TEC.B1,4.779588,50.636609,303,63.674713
BE.TEC.BE.TEC.B1,4.779698,50.636626,304,63.687129
BE.TEC.BE.TEC.B1,4.780104,50.636953,305,63.744930
BE.TEC.BE.TEC.B1,4.780152,50.636948,306,63.750343
BE.TEC.BE.TEC.B1,4.780212,50.636951,307,63.756984
BE.TEC.BE.TEC.B1,4.780251,50.636962,308,63.761449
BE.TEC.BE.TEC.B1,4.780289,50.636973,309,63.765917
BE.TEC.BE.TEC.B1,4.780356,50.637013,310,63.774552
BE.TEC.BE.TEC.B1,4.780375,50.637042,311,63.778377
BE.TEC.BE.TEC.B1,4.780383,50.637075,312,63.782149
BE.TEC.BE.TEC.B1,4.780385,50.637100,313,63.784955
BE.TEC.BE.TEC.B1,4.780379,50.637126,314,63.787857
BE.TEC.BE.TEC.B1,4.780798,50.637475,315,63.848357
BE.TEC.BE.TEC.B1,4.780844,50.637578,316,63.860827
BE.TEC.BE.TEC.B1,4.780844,50.637578,317,63.860827
BE.TEC.BE.TEC.B1,4.780741,50.637535,318,63.873209
BE.TEC.BE.TEC.B1,4.780305,50.637167,319,63.936549
BE.TEC.BE.TEC.B1,4.780272,50.637176,320,63.940364
BE.TEC.BE.TEC.B1,4.780243,50.637179,321,63.943568
BE.TEC.BE.TEC.B1,4.780208,50.637181,322,63.947487
BE.TEC.BE.TEC.B1,4.780161,50.637176,323,63.952738
BE.TEC.BE.TEC.B1,4.780118,50.637162,324,63.957719
BE.TEC.BE.TEC.B1,4.780084,50.637143,325,63.962044
BE.TEC.BE.TEC.B1,4.780061,50.637127,326,63.965175
BE.TEC.BE.TEC.B1,4.780028,50.637089,327,63.970749
BE.TEC.BE.TEC.B1,4.780021,50.637063,328,63.973734
BE.TEC.BE.TEC.B1,4.780019,50.637036,329,63.976700
BE.TEC.BE.TEC.B1,4.780025,50.637015,330,63.979132
BE.TEC.BE.TEC.B1,4.780036,50.636990,331,63.982220
BE.TEC.BE.TEC.B1,4.779603,50.636672,332,64.041843
BE.TEC.BE.TEC.B1,4.779588,50.636609,333,64.049043
BE.TEC.BE.TEC.B1,4.780844,50.637578,334,64.225073
BE.TEC.BE.TEC.B1,4.781921,50.638416,335,64.376596
BE.TEC.BE.TEC.B1,4.782047,50.638513,336,64.394185
BE.TEC.BE.TEC.B1,4.782924,50.639196,337,64.517568
BE.TEC.BE.TEC.B1,4.787365,50.642653,338,65.142168
BE.TEC.BE.TEC.B1,4.789284,50.644127,339,65.410749
BE.TEC.BE.TEC.B1,4.790222,50.644860,340,65.542852
BE.TEC.BE.TEC.B1,4.790915,50.645403,341,65.640534
BE.TEC.BE.TEC.B1,4.795665,50.649118,342,66.309744
BE.TEC.BE.TEC.B1,4.803261,50.655031,343,67.378005
BE.TEC.BE.TEC.B1,4.803340,50.655093,344,67.389167
BE.TEC.BE.TEC.B1,4.809737,50.660075,345,68.288951
BE.TEC.BE.TEC.B1,4.812413,50.662159,346,68.665432
BE.TEC.BE.TEC.B1,4.812541,50.662258,347,68.683350
BE.TEC.BE.TEC.B1,4.813081,50.662680,348,68.759391
BE.TEC.BE.TEC.B1,4.818325,50.666710,349,69.493372
BE.TEC.BE.TEC.B1,4.823165,50.670433,350,70.171099
BE.TEC.BE.TEC.B1,4.823314,50.670547,351,70.191865
BE.TEC.BE.TEC.B1,4.823423,50.670632,352,70.207248
BE.TEC.BE.TEC.B1,4.823997,50.671079,353,70.287972
BE.TEC.BE.TEC.B1,4.824121,50.671170,354,70.305101
BE.TEC.BE.TEC.B1,4.824342,50.671332,355,70.335492
BE.TEC.BE.TEC.B1,4.639582,50.658902,356,90.913066
BE.TEC.BE.TEC.B1,4.640091,50.658884,357,90.969653
BE.TEC.BE.TEC.B1,4.640675,50.658888,358,91.034573
BE.TEC.BE.TEC.B1,4.640953,50.658906,359,91.065495
BE.TEC.BE.TEC.B1,4.641292,50.658944,360,91.103413
BE.TEC.BE.TEC.B1,4.641739,50.659017,361,91.153771
BE.TEC.BE.TEC.B1,4.642155,50.659094,362,91.200690
BE.TEC.BE.TEC.B1,4.642474,50.659161,363,91.236956
BE.TEC.BE.TEC.B1,4.643049,50.659292,364,91.302525
BE.TEC.BE.TEC.B1,4.643371,50.659391,365,91.339919
BE.TEC.BE.TEC.B1,4.643682,50.659507,366,91.376763
BE.TEC.BE.TEC.B1,4.644079,50.659678,367,91.424815
BE.TEC.BE.TEC.B1,4.644412,50.659830,368,91.465442
BE.TEC.BE.TEC.B1,4.644698,50.659994,369,91.502040
BE.TEC.BE.TEC.B1,4.644980,50.660163,370,91.538525
BE.TEC.BE.TEC.B1,4.645258,50.660359,371,91.576356
